day, S0 -6.000000|-6.000000,S1 -6.000000|-2.000000,S2 -6.000000|2.000000,S3 -6.000000|6.000000,S4 -2.000000|-6.000000,S5 -2.000000|-2.000000,S6 -2.000000|2.000000,S7 -2.000000|6.000000,S8 2.000000|-6.000000,S9 2.000000|-2.000000,S10 2.000000|2.000000,S11 2.000000|6.000000,S12 6.000000|-6.000000,S13 6.000000|-2.000000,S14 6.000000|2.000000,S15 6.000000|6.000000
46, 9.2235994,9.2233057,9.2228546,9.2237597,9.2234116,9.2236805,9.2229414,9.2235670,9.2233324,9.2233047,9.2231655,9.2235289,9.2237434,9.2229366,9.2237806,9.2232161
47, 9.2235994,9.2233057,9.2228546,9.2237597,9.2234116,9.2236805,9.2229414,9.2235670,9.2233324,9.2233047,9.2231655,9.2235289,9.2237434,9.2229366,9.2237806,9.2232161
48, 9.2235994,9.2233057,9.2228546,9.2237597,9.2234116,9.2236805,9.2229414,9.2235670,9.2233324,9.2233047,9.2231655,9.2235289,9.2237434,9.2229366,9.2237806,9.2232161
49, 9.2235994,9.2233057,9.2228546,9.2237597,9.2234116,9.2236805,9.2229414,9.2235670,9.2233324,9.2233047,9.2231655,9.2235289,9.2237434,9.2229366,9.2237806,9.2232161
50, 9.2235994,9.2233057,9.2228546,9.2237597,9.2234116,9.2236805,9.2229414,9.2235670,9.2233324,9.2233047,9.2231655,9.2235289,9.2237434,9.2229366,9.2237806,9.2232161
51, 9.2235994,9.2233057,9.2228546,9.2237597,9.2234116,9.2236805,9.2229414,9.2235670,9.2233324,9.2233047,9.2231655,9.2235289,9.2237434,9.2229366,9.2237806,9.2232161
52, 9.2235994,9.2233057,9.2228546,9.2237597,9.2234116,9.2236805,9.2229414,9.2235670,9.2233324,9.2233047,9.2231655,9.2235289,9.2237434,9.2229366,9.2237806,9.2232161
53, 9.2235994,9.2233057,9.2228546,9.2237597,9.2234116,9.2236805,9.2229414,9.2235670,9.2233324,9.2233047,9.2231655,9.2235289,9.2237434,9.2229366,9.2237806,9.2232161
54, 9.2235994,9.2233057,9.2228546,9.2237597,9.2234116,9.2236805,9.2229414,9.2235670,9.2233324,9.2233047,9.2231655,9.2235289,9.2237434,9.2229366,9.2237806,9.2232161
55, 9.2235994,9.2233057,9.2228546,9.2237597,9.2234116,9.2236805,9.2229414,9.2235670,9.2233324,9.2233047,9.2231655,9.2235289,9.2237434,9.2229366,9.2237806,9.2232161
56, 9.2235994,9.2233057,9.2228546,9.2237597,9.2234116,9.2236805,9.2229414,9.2235670,9.2233324,9.2233047,9.2231655,9.2235289,9.2237434,9.2229366,9.2237806,9.2232161
57, 9.2235994,9.2233057,9.2228546,9.2237597,9.2234116,9.2236805,9.2229414,9.2235670,9.2233324,9.2233047,9.2231655,9.2235289,9.2237434,9.2229366,9.2237806,9.2232161
58, 9.2235994,9.2233057,9.2228546,9.2237597,9.2234116,9.2236805,9.2229414,9.2235670,9.2233324,9.2233047,9.2231655,9.2235289,9.2237434,9.2229366,9.2237806,9.2232161
59, 9.2235994,9.2233057,9.2228546,9.2237597,9.2234116,9.2236805,9.2229414,9.2235670,9.2233324,9.2233047,9.2231655,9.2235289,9.2237434,9.2229366,9.2237806,9.2232161
60, 9.2235994,9.2233057,9.2228546,9.2237597,9.2234116,9.2236805,9.2229414,9.2235670,9.2233324,9.2233047,9.2231655,9.2235289,9.2237434,9.2229366,9.2237806,9.2232161
61, 9.2235994,9.2233057,9.2228546,9.2237597,9.2234116,9.2236805,9.2229414,9.2235670,9.2233324,9.2233047,9.2231655,9.2235289,9.2237434,9.2229366,9.2237806,9.2232161
62, 9.2235994,9.2233057,9.2228546,9.2237597,9.2234116,9.2236805,9.2229414,9.2235670,9.2233324,9.2233047,9.2231655,9.2235289,9.2237434,9.2229366,9.2237806,9.2232161
63, 9.2235994,9.2233057,9.2228546,9.2237597,9.2234116,9.2236805,9.2229414,9.2235670,9.2233324,9.2233047,9.2231655,9.2235289,9.2237434,9.2229366,9.2237806,9.2232161
64, 9.2235994,9.2233057,9.2228546,9.2237597,9.2234116,9.2236805,9.2229414,9.2235670,9.2233324,9.2233047,9.2231655,9.2235289,9.2237434,9.2229366,9.2237806,9.2232161
65, 9.2235994,9.2233057,9.2228546,9.2237597,9.2234116,9.2236805,9.2229414,9.2235670,9.2233324,9.2233047,9.2231655,9.2235289,9.2237434,9.2229366,9.2237806,9.2232161
66, 9.2235994,9.2233057,9.2228546,9.2237597,9.2234116,9.2236805,9.2229414,9.2235670,9.2233324,9.2233047,9.2231655,9.2235289,9.2237434,9.2229366,9.2237806,9.2232161
67, 9.2235994,9.2233057,9.2228546,9.2237597,9.2234116,9.2236805,9.2229414,9.2235670,9.2233324,9.2233047,9.2231655,9.2235289,9.2237434,9.2229366,9.2237806,9.2232161
68, 9.2235994,9.2233057,9.2228546,9.2237597,9.2234116,9.2236805,9.2229414,9.2235670,9.2233324,9.2233047,9.2231655,9.2235289,9.2237434,9.2229366,9.2237806,9.2232161
69, 9.2235994,9.2233057,9.2228546,9.2237597,9.2234116,9.2236805,9.2229414,9.2235670,9.2233324,9.2233047,9.2231655,9.2235289,9.2237434,9.2229366,9.2237806,9.2232161
